epoch,train_loss,val_loss,train_acc,val_acc,val_f1,val_precision,val_recall,epoch_time
1,0.8453081472478684,0.4806622409820557,0.3333333333333333,0.3433333333333333,0.30429242027415543,0.4140310669722434,0.3433333333333333,200.47609496116638
2,0.877623731350348,0.49751272598902385,0.3226072607260726,0.31333333333333335,0.29804775363567,0.3232639453569686,0.31333333333333335,197.10534477233887
3,0.8570817244721718,0.49668043772379555,0.3589108910891089,0.32666666666666666,0.3096957066878289,0.33007301281168205,0.3266666666666667,197.01282048225403
4,0.8835939369579353,0.49702298879623413,0.334983498349835,0.3233333333333333,0.3115572688572452,0.3208188451115281,0.32333333333333336,198.18492436408997
5,0.8529240815552941,0.497443106174469,0.3325082508250825,0.32,0.3095125164690382,0.32555555555555554,0.32,197.56541752815247
6,0.8560812890332917,0.49738227685292563,0.3259075907590759,0.32666666666666666,0.3171950664003644,0.3320986717267553,0.32666666666666666,196.51674580574036
7,0.8659436128320473,0.49742366711298625,0.3358085808580858,0.3233333333333333,0.31179628531287934,0.32105327218726903,0.3233333333333333,197.7738163471222
8,0.8527818320214552,0.49760921398798624,0.3325082508250825,0.3333333333333333,0.32229402374329913,0.33364115662966237,0.3333333333333333,197.38188910484314
9,0.8568678693015976,0.4964849575360616,0.3448844884488449,0.33,0.32041905671790955,0.32210110993762825,0.33,197.90087485313416
10,0.8784179840937699,0.4972603130340576,0.3061056105610561,0.31666666666666665,0.30345073733557093,0.3033774794388002,0.31666666666666665,196.9533326625824
11,0.8467881022506815,0.49771754105885824,0.34405940594059403,0.31,0.30143025914288196,0.30999421549067985,0.31,198.1896481513977
12,0.8381583320819112,0.4967482169469198,0.35973597359735976,0.3333333333333333,0.3213320065013385,0.32780298710947137,0.3333333333333333,197.11282300949097
13,0.8559880020594833,0.49566073576609293,0.3448844884488449,0.33,0.3177137225917714,0.31967617835938444,0.33,197.53702354431152
14,0.8481747395921462,0.4936867785453796,0.334983498349835,0.32666666666666666,0.31033868454047253,0.3204432508639628,0.32666666666666666,198.14663791656494
15,0.8429118076173385,0.4950668795903524,0.3292079207920792,0.32666666666666666,0.31652036159078406,0.3169800652464224,0.32666666666666666,198.1777355670929
16,0.8383167327040493,0.49573328495025637,0.349009900990099,0.3333333333333333,0.32351693590877023,0.32830892908412285,0.3333333333333333,197.2893943786621
17,0.8501292655963709,0.49557355403900144,0.34405940594059403,0.33,0.3178516624040921,0.3162637362637363,0.33,197.3246533870697
18,0.8520878860265901,0.49564003467559814,0.32838283828382836,0.32666666666666666,0.3163997783702533,0.3193479938271605,0.32666666666666666,207.62736129760742
19,0.8744069286698949,0.49334828853607177,0.3341584158415842,0.34,0.33318322544328743,0.3353433055684932,0.34,205.3366060256958
20,0.8493130291649217,0.49440683364868165,0.3655115511551155,0.32666666666666666,0.3176318539294946,0.3175575128700129,0.32666666666666666,196.81071996688843
