epoch,train_loss,val_loss,train_acc,val_acc,val_f1,val_precision,val_recall,epoch_time
1,0.4963995344174577,0.4837124188741048,0.3358085808580858,0.38,0.30970045280390107,0.451008064516129,0.37999999999999995,93.5455207824707
2,0.48411696873875737,0.467019780476888,0.37458745874587457,0.49666666666666665,0.5020764363881066,0.5423640120976683,0.49666666666666665,92.05989718437195
3,0.4796810569149433,0.46542165040969846,0.3935643564356436,0.4866666666666667,0.4929612509273526,0.5095708101422387,0.48666666666666664,92.35735130310059
4,0.4755824637098281,0.4601584279537201,0.41914191419141916,0.5066666666666667,0.5135398962915979,0.5317095647054306,0.5066666666666667,92.80662846565247
5,0.46747381567168156,0.4557335877418518,0.4603960396039604,0.5333333333333333,0.539871045134203,0.5662207863573164,0.5333333333333333,92.55319142341614
6,0.4602018571136021,0.4500634582837423,0.47112211221122113,0.56,0.5608842043624652,0.5624230803979241,0.56,93.28950476646423
7,0.4523137651457645,0.4462716062863668,0.49422442244224424,0.5833333333333334,0.5878217929992945,0.6021240396240396,0.5833333333333334,93.77373909950256
8,0.448333612467983,0.4423126308123271,0.5363036303630363,0.6033333333333334,0.6059848928958876,0.6169040320842978,0.6033333333333334,93.69617676734924
9,0.43923646368996144,0.43810630997021993,0.5503300330033003,0.62,0.6212680887490317,0.6261485085178078,0.62,92.41849684715271
10,0.43433805523139024,0.43370423714319867,0.5825082508250825,0.6433333333333333,0.644891027645787,0.6534691174035436,0.6433333333333334,93.30062437057495
11,0.4303336520202876,0.42907821853955586,0.6014851485148515,0.64,0.6429514503683302,0.653495308519232,0.64,91.59520030021667
12,0.42338882253901794,0.4262369728088379,0.599009900990099,0.6433333333333333,0.6429193378231058,0.6471565232341095,0.6433333333333334,92.44215703010559
13,0.41849252424224376,0.4211521804332733,0.6113861386138614,0.6566666666666666,0.6596098683222303,0.6824606561448666,0.6566666666666666,92.28712368011475
14,0.4183954920115644,0.4174861820538839,0.6204620462046204,0.67,0.669379688634347,0.6756944444444444,0.6699999999999999,93.28607249259949
15,0.41201684744444617,0.4143957968552907,0.6262376237623762,0.6666666666666666,0.6681898791965164,0.6810093307972417,0.6666666666666666,92.06969475746155
16,0.4088868249957711,0.4094396420319875,0.6221122112211221,0.68,0.6807463517356082,0.6865621332459947,0.68,97.03304409980774
17,0.4063565378928735,0.40649684945742287,0.6468646864686468,0.68,0.6800719872285325,0.6959054142962189,0.68,94.50977635383606
18,0.40146844261156844,0.4035571614901225,0.6245874587458746,0.6833333333333333,0.6818742720631193,0.6863559951656585,0.6833333333333332,92.32047152519226
19,0.3976252270807134,0.3986163572470347,0.6468646864686468,0.6933333333333334,0.6947849404941889,0.6988737207809373,0.6933333333333334,91.30200433731079
20,0.3921071527027848,0.39504591941833495,0.6567656765676567,0.7,0.7020984747064447,0.718812292358804,0.7000000000000001,91.82194542884827
