epoch,train_loss,val_loss,train_acc,val_acc,val_f1,val_precision,val_recall,epoch_time
1,0.4996968185154125,0.5083215006192525,0.33085808580858084,0.3,0.2159325396825397,0.2425252525252525,0.3,117.59564280509949
2,0.4968336338650669,0.5033360211054484,0.3333333333333333,0.2633333333333333,0.23725124777756357,0.25245917115075994,0.2633333333333333,122.3828182220459
3,0.48171826292185893,0.4980584756533305,0.3919141914191419,0.2733333333333333,0.26152181962926974,0.27155954974582425,0.2733333333333334,115.38708829879761
4,0.4749727704540731,0.49401122887929283,0.4207920792079208,0.29,0.28194680249009624,0.2921773828023828,0.29,112.26720094680786
5,0.46962050026399466,0.4892406988143921,0.44471947194719474,0.33,0.3224796938790025,0.34987831898587046,0.33,106.58216452598572
6,0.4618388314058285,0.4845306960741679,0.45874587458745875,0.3566666666666667,0.3556069394467656,0.3704574108362742,0.3566666666666667,99.476322889328
7,0.46076881423248317,0.48002400557200114,0.485973597359736,0.4066666666666667,0.4073389343494552,0.4231868620613617,0.4066666666666667,110.94505739212036
8,0.45987770315444115,0.4769882758458455,0.4909240924092409,0.4166666666666667,0.4183820688409612,0.4264884058242706,0.4166666666666667,95.3293788433075
9,0.45018937387088737,0.4718465026219686,0.5198019801980198,0.45,0.4519165045480835,0.45815618706645783,0.44999999999999996,94.4460129737854
10,0.44515958231667874,0.4667807451883952,0.5420792079207921,0.4666666666666667,0.46829908997091657,0.48392347157985194,0.4666666666666666,93.77123808860779
11,0.4369444489085635,0.4641414666175842,0.5635313531353136,0.4866666666666667,0.48882392862888563,0.50053530698692,0.48666666666666664,93.59513878822327
12,0.43306713194736945,0.4602836183706919,0.5874587458745875,0.5133333333333333,0.5153309988729528,0.520538109467329,0.5133333333333333,94.13179564476013
13,0.42610321845551924,0.4576940127213796,0.6138613861386139,0.5333333333333333,0.5365081105446218,0.5521341013144291,0.5333333333333333,94.16490840911865
14,0.4189970649705075,0.4533634893099467,0.636963696369637,0.55,0.5528597169601794,0.5676721181308336,0.5499999999999999,95.07336330413818
15,0.4152632511094852,0.4489432533582052,0.6245874587458746,0.5566666666666666,0.5574110046954002,0.5596023420100572,0.5566666666666666,93.798104763031
16,0.4084881803776958,0.44565112352371217,0.6410891089108911,0.5533333333333333,0.5541636604136604,0.5565634158801861,0.5533333333333332,94.83950114250183
17,0.4050982389906452,0.4435075271129608,0.6633663366336634,0.59,0.5920605935606765,0.5993235348379559,0.59,93.5980429649353
18,0.40144837768164404,0.4396006544431051,0.6674917491749175,0.5866666666666667,0.5891636558929793,0.6059027777777778,0.5866666666666666,93.35824060440063
19,0.3927889572511805,0.43433636069297793,0.6815181518151815,0.6166666666666667,0.6170453741241914,0.6248804450732982,0.6166666666666667,112.9947783946991
20,0.3910956847982438,0.4322337007522583,0.6806930693069307,0.6266666666666667,0.6285851226191345,0.6347638362344245,0.6266666666666666,104.3279983997345
