epoch,train_loss,val_loss,train_acc,val_acc,val_f1,val_precision,val_recall,epoch_time
1,0.8301398447244475,0.8512070698738098,0.5613861386138614,0.522,0.4998854593655415,0.5505905027870212,0.522,134.5773320198059
2,0.8244156941328898,0.8450505881309509,0.5732673267326732,0.522,0.5039319371930382,0.5622978180681101,0.522,138.5641326904297
3,0.8184388399124145,0.8413724217414856,0.5688118811881188,0.508,0.47847656613674483,0.5313661202185792,0.508,134.37925052642822
4,0.8148224638240172,0.8367237701416016,0.5722772277227722,0.516,0.49132404401313445,0.5413685216824693,0.516,138.0118637084961
5,0.8119094683392213,0.8349989690780639,0.5693069306930693,0.518,0.49295762163288037,0.5492490917043156,0.518,139.4712872505188
6,0.8069865859381044,0.8312108502388,0.5742574257425742,0.54,0.5093163316443965,0.5505600238745217,0.5399999999999999,137.14210414886475
7,0.7981454865767224,0.8295858254432679,0.597029702970297,0.53,0.5050910863534438,0.545868844859506,0.53,134.96702003479004
8,0.7924835362056695,0.8247161402702331,0.6034653465346534,0.53,0.4965982992492274,0.5299000173272079,0.53,135.7785656452179
9,0.7947697257051374,0.8208033590316772,0.5846534653465346,0.534,0.5028420830008733,0.5401181834443548,0.534,137.34177041053772
10,0.7868505891006772,0.8149934344291687,0.5925742574257425,0.532,0.5040367115245463,0.5562056791340236,0.532,136.84300994873047
