epoch,train_loss,val_loss,train_acc,val_acc,val_f1,val_precision,val_recall,epoch_time
1,1.0295453340700358,1.0146048984527587,0.1896039603960396,0.25,0.1918744799011572,0.3407794640098857,0.25,136.21697211265564
2,1.0193505970558319,1.0063187856674194,0.21831683168316832,0.268,0.21564184499446687,0.3543139944610041,0.26799999999999996,131.85950636863708
3,1.0027436313062612,0.9996996946334838,0.27574257425742577,0.304,0.2584305312514022,0.420677652744155,0.304,136.87162709236145
4,0.9897180727212735,0.9904936308860779,0.3099009900990099,0.322,0.28249257935355426,0.4486608710415533,0.32199999999999995,133.3681139945984
5,0.9770123043862899,0.9813919348716735,0.3415841584158416,0.352,0.3223462276240342,0.47819551528618814,0.352,135.61219358444214
6,0.9661081081569785,0.9717738013267517,0.36534653465346534,0.374,0.34902842731989125,0.5156277264820018,0.374,132.05994820594788
7,0.9589276823667017,0.9635313353538513,0.3717821782178218,0.408,0.3789060533990865,0.5143524992331592,0.40800000000000003,133.84728240966797
8,0.9480045743507914,0.9552675890922546,0.39900990099009903,0.422,0.3940397045236537,0.5740652991711361,0.422,133.7928864955902
9,0.9418462413372379,0.9495950927734375,0.41089108910891087,0.438,0.40425100037713746,0.613734635530138,0.438,132.44392371177673
10,0.9326625198420911,0.9421512651443481,0.4321782178217822,0.432,0.3906973177445477,0.6245086608375197,0.43200000000000005,135.6485631465912
11,0.9214568758955096,0.9325899109840393,0.4524752475247525,0.448,0.41691593312443037,0.6422675179330164,0.44799999999999995,133.16195106506348
12,0.9078155914155563,0.9230079226493836,0.4633663366336634,0.46,0.42861713796300605,0.5657339498658873,0.45999999999999996,138.47921133041382
13,0.9022971445971196,0.9204566049575805,0.4628712871287129,0.462,0.4266252179719383,0.596896012006861,0.462,133.29097509384155
14,0.8943161083920167,0.9128265223503113,0.498019801980198,0.452,0.41174933545986175,0.5447734222963581,0.45199999999999996,136.90481901168823
15,0.8822027083670739,0.9061427159309388,0.5163366336633664,0.47,0.4353246959238721,0.5630390823250242,0.47000000000000003,131.99651551246643
16,0.874431314326749,0.8976810545921325,0.5103960396039604,0.508,0.48020002135682843,0.5891589307378781,0.508,136.1070680618286
17,0.8624568794033315,0.8943063607215881,0.5321782178217822,0.49,0.45591202532489755,0.5634424517396653,0.49000000000000005,132.21246147155762
18,0.8525765437890988,0.8856211156845093,0.5336633663366337,0.508,0.47455256667587886,0.5903722587293763,0.508,134.06491613388062
19,0.8493561913471411,0.8812535858154297,0.5237623762376238,0.524,0.5021125532383488,0.5913206876587158,0.524,134.257830619812
20,0.8401288177707408,0.872859890460968,0.5524752475247525,0.516,0.4885336257030792,0.5856706781744263,0.516,134.05383729934692
