epoch,train_loss,val_loss,train_acc,val_acc,val_f1,val_precision,val_recall,epoch_time
1,0.8337961416433354,0.8696676163673401,0.5351485148514852,0.534,0.5059376331794093,0.5841657607691497,0.534,616.093003988266
2,0.8251391585510556,0.8675237040519714,0.5628712871287128,0.528,0.4956210682449191,0.5853637603593539,0.5279999999999999,619.0267012119293
3,0.8186860950866548,0.8634245419502258,0.5653465346534653,0.518,0.4880291921457688,0.5975754267158667,0.518,617.5453543663025
4,0.8232064682658357,0.8612974085807801,0.5623762376237624,0.526,0.4928191649665788,0.6026684317562643,0.526,618.4520630836487
5,0.8170814234431427,0.8574480228424072,0.5603960396039604,0.54,0.5117682807624693,0.6029522144522145,0.54,618.1068069934845
6,0.8118118755888231,0.8582843170166016,0.5782178217821782,0.52,0.4897496757892242,0.5880314861793774,0.52,617.3864378929138
7,0.8021412025583853,0.8530125126838685,0.5910891089108911,0.526,0.49688453483740913,0.5844230216828823,0.526,615.8697254657745
8,0.8014427912117231,0.8465695729255677,0.5851485148514851,0.538,0.5080553542516573,0.6009023203818962,0.538,614.3529005050659
9,0.8001721936877412,0.8446047801971436,0.5782178217821782,0.532,0.5009989252721688,0.5960239827253162,0.532,617.1425116062164
10,0.7939954149841082,0.8403587794303894,0.5767326732673267,0.53,0.49380300108733205,0.5816068735186383,0.53,615.7878878116608
