epoch,train_loss,val_loss,train_acc,val_acc,val_f1,val_precision,val_recall,epoch_time
1,1.6206276001316486,1.0079873576164247,0.21485148514851485,0.274,0.27470690804455294,0.2903609127151768,0.274,760.0676805973053
2,1.6174403452637172,1.0085926184654235,0.2198019801980198,0.28,0.2780186523167121,0.28811571598336305,0.28,775.1281757354736
3,1.6018369509442019,1.0105291295051575,0.2099009900990099,0.28,0.280448401545356,0.29225089358836914,0.27999999999999997,759.8315272331238
4,1.5888307358958933,1.0074422845840454,0.23316831683168318,0.282,0.2782848465342904,0.29582224728980344,0.282,771.6957955360413
5,1.58140235608167,1.0038547410964966,0.22574257425742575,0.288,0.2850524734978012,0.2939377069257215,0.288,762.2849469184875
6,1.6116604247895798,1.0040306849479674,0.2,0.288,0.28946128733362775,0.3087473422278904,0.288,763.8388833999634
7,1.5765924194071552,1.0036626906394959,0.22475247524752476,0.284,0.27970809026374743,0.2956029603268285,0.28400000000000003,762.8447372913361
8,1.5823813419530888,0.9992957053184509,0.22425742574257426,0.322,0.31160884577118714,0.3283595165288955,0.32199999999999995,864.8117208480835
9,1.5803698237579649,0.998014847278595,0.2198019801980198,0.312,0.30534214997493037,0.3230132397722759,0.312,950.0416078567505
10,1.5894087815048672,0.9977021608352661,0.21287128712871287,0.324,0.316991716103255,0.3286857658351103,0.324,953.9081964492798
