model,split,class,precision,recall,specificity,f1
resnext,val,Bacterial,0.32,0.08,0.9575,0.128
resnext,val,Covid-19,0.6376811594202898,0.44,0.9375,0.5207100591715976
resnext,val,Lung Opacity,0.5178571428571429,0.87,0.7975,0.6492537313432836
resnext,val,Normal,0.38011695906432746,0.65,0.735,0.4797047970479705
resnext,val,Viral,0.9253731343283582,0.62,0.9875,0.7425149700598802
resnext,test,Bacterial,0.6470588235294118,0.26570048309178745,0.9637681159420289,0.37671232876712335
resnext,test,Covid-19,0.14285714285714285,0.004830917874396135,0.9927536231884058,0.009345794392523364
resnext,test,Lung Opacity,0.3885480572597137,0.9178743961352657,0.6388888888888888,0.5459770114942529
resnext,test,Normal,0.7361111111111112,0.5120772946859904,0.9541062801932367,0.603988603988604
resnext,test,Viral,0.567741935483871,0.8502415458937198,0.8381642512077294,0.6808510638297873
densenet,val,Bacterial,0.4230769230769231,0.11,0.9625,0.1746031746031746
densenet,val,Covid-19,0.6428571428571429,0.27,0.9625,0.3802816901408451
densenet,val,Lung Opacity,0.4567307692307692,0.95,0.7175,0.6168831168831169
densenet,val,Normal,0.42948717948717946,0.67,0.7775,0.5234375
densenet,val,Viral,0.9558823529411765,0.65,0.9925,0.7738095238095238
densenet,test,Bacterial,0.5,0.14009661835748793,0.964975845410628,0.21886792452830192
densenet,test,Covid-19,1.0,0.10144927536231885,1.0,0.1842105263157895
densenet,test,Lung Opacity,0.4240506329113924,0.9710144927536232,0.6702898550724637,0.5903083700440529
densenet,test,Normal,0.610738255033557,0.4396135265700483,0.9299516908212561,0.5112359550561798
densenet,test,Viral,0.5345345345345346,0.8599033816425121,0.8128019323671497,0.6592592592592593
inception,val,Bacterial,0.29411764705882354,0.25,0.85,0.27027027027027023
inception,val,Covid-19,0.42592592592592593,0.23,0.9225,0.29870129870129875
inception,val,Lung Opacity,0.2898550724637681,0.4,0.755,0.33613445378151263
inception,val,Normal,0.20833333333333334,0.2,0.81,0.20408163265306126
inception,val,Viral,0.4251968503937008,0.54,0.8175,0.4757709251101322
inception,test,Bacterial,0.09239130434782608,0.0821256038647343,0.7983091787439613,0.08695652173913043
inception,test,Covid-19,0.2875,0.1111111111111111,0.9311594202898551,0.1602787456445993
inception,test,Lung Opacity,0.16761363636363635,0.28502415458937197,0.6461352657004831,0.21109123434704827
inception,test,Normal,0.23684210526315788,0.17391304347826086,0.8599033816425121,0.20055710306406688
inception,test,Viral,0.3707865168539326,0.4782608695652174,0.7971014492753623,0.41772151898734183
