timestamp,model,stage,local_epoch,lr,train_loss,train_acc,val_acc,f1,epoch_time_s,ckpt_path
2025-11-10 19:12:53,resnext50,stage1,1,1e-06,0.504854,0.330858,0.343333,,106.34,checkpoints\resnext50_epoch1.pth
2025-11-10 19:14:58,resnext50,stage1,2,1e-06,0.485602,0.366337,0.460000,,98.70,checkpoints\resnext50_epoch2.pth
2025-11-10 19:17:02,resnext50,stage1,3,1e-06,0.466351,0.465347,0.510000,,98.54,checkpoints\resnext50_epoch3.pth
2025-11-10 19:19:08,resnext50,stage1,4,1e-06,0.455091,0.494224,0.576667,,100.14,checkpoints\resnext50_epoch4.pth
2025-11-10 19:21:12,resnext50,stage1,5,1e-06,0.437568,0.577558,0.586667,,98.07,checkpoints\resnext50_epoch5.pth
2025-11-10 19:23:21,resnext50,stage1,6,1e-06,0.425017,0.617987,0.636667,,102.70,checkpoints\resnext50_epoch6.pth
2025-11-10 19:25:26,resnext50,stage1,7,1e-06,0.403306,0.679043,0.633333,,99.27,checkpoints\resnext50_epoch7.pth
2025-11-10 19:27:32,resnext50,stage1,8,1e-06,0.391164,0.712046,0.710000,,99.47,checkpoints\resnext50_epoch8.pth
2025-11-10 19:29:37,resnext50,stage1,9,1e-06,0.372710,0.752475,0.726667,,99.93,checkpoints\resnext50_epoch9.pth
2025-11-10 19:31:42,resnext50,stage1,10,1e-06,0.352452,0.781353,0.710000,,98.42,checkpoints\resnext50_epoch10.pth
2025-11-10 19:33:50,resnext50,stage1,11,1e-06,0.341434,0.776403,0.703333,,101.95,checkpoints\resnext50_epoch11.pth
2025-11-10 19:35:54,resnext50,stage1,12,1e-06,0.319585,0.801980,0.763333,,98.48,checkpoints\resnext50_epoch12.pth
2025-11-10 19:38:01,resnext50,stage1,13,1e-06,0.303411,0.799505,0.800000,,100.27,checkpoints\resnext50_epoch13.pth
2025-11-10 19:40:07,resnext50,stage1,14,1e-06,0.283818,0.829208,0.813333,,99.69,checkpoints\resnext50_epoch14.pth
2025-11-10 19:42:14,resnext50,stage1,15,1e-06,0.267420,0.836634,0.813333,,100.31,checkpoints\resnext50_epoch15.pth
2025-11-10 19:44:19,resnext50,stage1,16,1e-06,0.244966,0.854785,0.816667,,99.87,checkpoints\resnext50_epoch16.pth
2025-11-10 19:46:23,resnext50,stage1,17,1e-06,0.234007,0.844059,0.846667,,98.77,checkpoints\resnext50_epoch17.pth
2025-11-10 19:48:31,resnext50,stage1,18,1e-06,0.216105,0.857261,0.846667,,102.51,checkpoints\resnext50_epoch18.pth
2025-11-10 19:50:35,resnext50,stage1,19,1e-06,0.202743,0.871287,0.860000,,98.37,checkpoints\resnext50_epoch19.pth
2025-11-10 19:52:47,resnext50,stage1,20,1e-06,0.191668,0.879538,0.870000,,105.04,checkpoints\resnext50_epoch20.pth
2025-11-10 19:54:53,resnext50,stage2,1,1e-07,0.181731,0.884488,0.860000,,99.79,checkpoints\resnext50_epoch1.pth
2025-11-10 19:56:57,resnext50,stage2,2,1e-07,0.182586,0.878713,0.870000,,98.45,checkpoints\resnext50_epoch2.pth
2025-11-10 19:59:05,resnext50,stage2,3,1e-07,0.178714,0.888614,0.886667,,101.10,checkpoints\resnext50_epoch3.pth
