model,split,class,precision,recall,specificity,f1
ResNeXt50,val,Bacterial,0.3018867924528302,0.16,0.9075,0.2091503267973856
ResNeXt50,val,Covid-19,0.5652173913043478,0.78,0.85,0.6554621848739495
ResNeXt50,val,Lung Opacity,0.734375,0.94,0.915,0.8245614035087719
ResNeXt50,val,Normal,0.543859649122807,0.62,0.87,0.5794392523364487
ResNeXt50,val,Viral,0.9701492537313432,0.65,0.995,0.778443113772455
ResNeXt50,test,Bacterial,0.6869565217391305,0.3816425120772946,0.9565217391304348,0.4906832298136646
ResNeXt50,test,Covid-19,0.4285714285714285,0.0434782608695652,0.9855072463768116,0.0789473684210526
ResNeXt50,test,Lung Opacity,0.4076433121019108,0.927536231884058,0.6630434782608695,0.5663716814159293
ResNeXt50,test,Normal,0.8991596638655462,0.5169082125603864,0.9855072463768116,0.656441717791411
ResNeXt50,test,Viral,0.5922330097087378,0.8840579710144928,0.8478260869565217,0.7093023255813954
DenseNet161,val,Bacterial,0.3846153846153846,0.1,0.96,0.1587301587301587
DenseNet161,val,Covid-19,0.5983606557377049,0.73,0.8775,0.6576576576576576
DenseNet161,val,Lung Opacity,0.6381578947368421,0.97,0.8625,0.7698412698412698
DenseNet161,val,Normal,0.488,0.61,0.84,0.5422222222222223
DenseNet161,val,Viral,0.9466666666666668,0.71,0.99,0.8114285714285713
DenseNet161,test,Bacterial,0.6551724137931034,0.1835748792270531,0.9758454106280192,0.2867924528301886
DenseNet161,test,Covid-19,0.9285714285714286,0.9420289855072465,0.9818840579710144,0.935251798561151
DenseNet161,test,Lung Opacity,0.6535947712418301,0.966183574879227,0.8719806763285024,0.7797270955165692
DenseNet161,test,Normal,0.8796296296296297,0.4589371980676328,0.9842995169082126,0.6031746031746031
DenseNet161,test,Viral,0.546742209631728,0.932367149758454,0.8067632850241546,0.6892857142857142
InceptionV3,val,Bacterial,0.25,0.11,0.9175,0.1527777777777778
InceptionV3,val,Covid-19,0.5631067961165048,0.58,0.8875,0.5714285714285715
InceptionV3,val,Lung Opacity,0.5511363636363636,0.97,0.8025,0.7028985507246377
InceptionV3,val,Normal,0.4369747899159664,0.52,0.8325,0.4748858447488585
InceptionV3,val,Viral,0.9310344827586208,0.54,0.99,0.6835443037974683
InceptionV3,test,Bacterial,0.5789473684210527,0.4782608695652174,0.9130434782608696,0.5238095238095238
InceptionV3,test,Covid-19,0.6111111111111112,0.1062801932367149,0.9830917874396136,0.1810699588477366
InceptionV3,test,Lung Opacity,0.4246284501061571,0.966183574879227,0.6727053140096618,0.5899705014749262
InceptionV3,test,Normal,0.6166666666666667,0.357487922705314,0.9444444444444444,0.4525993883792049
InceptionV3,test,Viral,0.6033755274261603,0.6908212560386473,0.8864734299516909,0.6441441441441441
Ensemble,val,Bacterial,0.2352941176470588,0.08,0.935,0.1194029850746268
Ensemble,val,Covid-19,0.5891472868217055,0.76,0.8675,0.663755458515284
Ensemble,val,Lung Opacity,0.6808510638297872,0.96,0.8875,0.7966804979253111
Ensemble,val,Normal,0.5078125,0.65,0.8425,0.5701754385964912
Ensemble,val,Viral,0.9558823529411764,0.65,0.9925,0.7738095238095238
Ensemble,test,Bacterial,0.63,0.30434782608695654,0.9553140096618358,0.4104234527687297
Ensemble,test,Covid-19,0.9230769230769231,0.34782608695652173,0.9927536231884058,0.5052631578947369
Ensemble,test,Lung Opacity,0.468384074941452,0.966183574879227,0.7258454106280193,0.6309148264984228
Ensemble,test,Normal,0.918918918918919,0.4927536231884058,0.9891304347826086,0.6415094339622641
Ensemble,test,Viral,0.5611285266457681,0.8647342995169082,0.8309178743961353,0.6806083650190115
