timestamp,model,stage,local_epoch,lr,train_loss,train_acc,val_acc,f1,epoch_time_s,ckpt_path
2025-11-11 08:47:09,densenet161,stage1,11,1e-06,0.740721,0.636139,0.572000,,749.32,checkpoints\densenet161_epoch11.pth
2025-11-11 09:00:53,densenet161,stage1,12,1e-06,0.710478,0.651485,0.576000,,736.38,checkpoints\densenet161_epoch12.pth
2025-11-11 09:14:35,densenet161,stage1,13,1e-06,0.682779,0.655941,0.596000,,735.42,checkpoints\densenet161_epoch13.pth
2025-11-11 09:28:19,densenet161,stage1,14,1e-06,0.655129,0.651485,0.594000,,737.03,checkpoints\densenet161_epoch14.pth
2025-11-11 09:42:04,densenet161,stage1,15,1e-06,0.626473,0.675743,0.592000,,736.56,checkpoints\densenet161_epoch15.pth
2025-11-11 09:55:47,densenet161,stage1,16,1e-06,0.596303,0.690099,0.610000,,735.42,checkpoints\densenet161_epoch16.pth
2025-11-11 10:09:29,densenet161,stage1,17,1e-06,0.578094,0.671782,0.604000,,735.68,checkpoints\densenet161_epoch17.pth
2025-11-11 10:23:11,densenet161,stage1,18,1e-06,0.548705,0.679703,0.616000,,735.55,checkpoints\densenet161_epoch18.pth
2025-11-11 10:36:53,densenet161,stage1,19,1e-06,0.525072,0.689109,0.616000,,735.94,checkpoints\densenet161_epoch19.pth
2025-11-11 10:50:36,densenet161,stage1,20,1e-06,0.505633,0.693564,0.614000,,736.08,checkpoints\densenet161_epoch20.pth
2025-11-11 11:04:20,densenet161,stage2,1,1e-07,0.497532,0.693069,0.618000,,736.48,checkpoints\densenet161_epoch1.pth
2025-11-11 11:18:02,densenet161,stage2,2,1e-07,0.492150,0.695050,0.612000,,734.75,checkpoints\densenet161_epoch2.pth
2025-11-11 11:32:08,densenet161,stage2,3,1e-07,0.486575,0.699505,0.600000,,751.88,checkpoints\densenet161_epoch3.pth
2025-11-11 11:47:12,densenet161,stage2,4,1e-07,0.487734,0.697030,0.618000,,810.80,checkpoints\densenet161_epoch4.pth
2025-11-11 12:02:17,densenet161,stage2,5,1e-07,0.485604,0.699505,0.608000,,811.24,checkpoints\densenet161_epoch5.pth
2025-11-11 12:17:24,densenet161,stage2,6,1e-07,0.487600,0.691584,0.622000,,813.38,checkpoints\densenet161_epoch6.pth
2025-11-11 12:32:33,densenet161,stage2,7,1e-07,0.479326,0.701485,0.622000,,815.91,checkpoints\densenet161_epoch7.pth
2025-11-11 12:47:46,densenet161,stage2,8,1e-07,0.478655,0.695050,0.612000,,819.17,checkpoints\densenet161_epoch8.pth
2025-11-11 13:02:56,densenet161,stage2,9,1e-07,0.479077,0.683168,0.612000,,815.60,checkpoints\densenet161_epoch9.pth
2025-11-11 13:18:07,densenet161,stage2,10,1e-07,0.475732,0.703960,0.624000,,817.03,checkpoints\densenet161_epoch10.pth
2025-11-11 13:29:16,inception_v3,stage1,1,1e-06,1.513932,0.203960,0.182000,,268.85,checkpoints\inception_v3_epoch1.pth
2025-11-11 13:38:29,inception_v3,stage1,2,1e-06,1.486839,0.199010,0.208000,,498.06,checkpoints\inception_v3_epoch2.pth
2025-11-11 13:47:48,inception_v3,stage1,3,1e-06,1.422560,0.240099,0.232000,,502.08,checkpoints\inception_v3_epoch3.pth
2025-11-11 13:57:08,inception_v3,stage1,4,1e-06,1.372483,0.272277,0.276000,,503.46,checkpoints\inception_v3_epoch4.pth
2025-11-11 14:06:08,inception_v3,stage1,5,1e-06,1.342026,0.278218,0.286000,,488.00,checkpoints\inception_v3_epoch5.pth
2025-11-11 14:14:27,inception_v3,stage1,6,1e-06,1.309151,0.303465,0.326000,,449.08,checkpoints\inception_v3_epoch6.pth
2025-11-11 14:22:47,inception_v3,stage1,7,1e-06,1.266172,0.332178,0.370000,,449.41,checkpoints\inception_v3_epoch7.pth
2025-11-11 14:31:05,inception_v3,stage1,8,1e-06,1.226495,0.370792,0.378000,,447.16,checkpoints\inception_v3_epoch8.pth
2025-11-11 14:39:25,inception_v3,stage1,9,1e-06,1.191948,0.383168,0.406000,,448.19,checkpoints\inception_v3_epoch9.pth
2025-11-11 14:47:45,inception_v3,stage1,10,1e-06,1.166704,0.415347,0.448000,,448.98,checkpoints\inception_v3_epoch10.pth
2025-11-11 14:56:04,inception_v3,stage1,11,1e-06,1.138724,0.423267,0.472000,,448.67,checkpoints\inception_v3_epoch11.pth
2025-11-11 15:04:25,inception_v3,stage1,12,1e-06,1.109488,0.458416,0.462000,,449.77,checkpoints\inception_v3_epoch12.pth
2025-11-11 15:12:44,inception_v3,stage1,13,1e-06,1.082124,0.457921,0.470000,,448.74,checkpoints\inception_v3_epoch13.pth
2025-11-11 15:21:04,inception_v3,stage1,14,1e-06,1.042462,0.490099,0.484000,,448.50,checkpoints\inception_v3_epoch14.pth
2025-11-11 15:29:27,inception_v3,stage1,15,1e-06,1.014916,0.506436,0.508000,,448.27,checkpoints\inception_v3_epoch15.pth
2025-11-11 15:38:45,inception_v3,stage1,16,1e-06,0.979001,0.534653,0.518000,,502.42,checkpoints\inception_v3_epoch16.pth
2025-11-11 15:48:05,inception_v3,stage1,17,1e-06,0.961669,0.546040,0.520000,,503.45,checkpoints\inception_v3_epoch17.pth
2025-11-11 15:57:23,inception_v3,stage1,18,1e-06,0.937851,0.548515,0.522000,,502.69,checkpoints\inception_v3_epoch18.pth
2025-11-11 16:06:41,inception_v3,stage1,19,1e-06,0.911600,0.575743,0.500000,,502.55,checkpoints\inception_v3_epoch19.pth
2025-11-11 16:16:00,inception_v3,stage1,20,1e-06,0.881742,0.584653,0.524000,,502.76,checkpoints\inception_v3_epoch20.pth
2025-11-11 16:25:24,inception_v3,stage2,1,1e-07,0.878480,0.571782,0.540000,,508.38,checkpoints\inception_v3_epoch1.pth
2025-11-11 16:34:44,inception_v3,stage2,2,1e-07,0.873440,0.584653,0.510000,,503.31,checkpoints\inception_v3_epoch2.pth
2025-11-11 16:44:08,inception_v3,stage2,3,1e-07,0.872250,0.578713,0.526000,,506.61,checkpoints\inception_v3_epoch3.pth
2025-11-11 16:53:27,inception_v3,stage2,4,1e-07,0.866450,0.586634,0.558000,,503.70,checkpoints\inception_v3_epoch4.pth
2025-11-11 17:02:46,inception_v3,stage2,5,1e-07,0.868599,0.595545,0.522000,,503.92,checkpoints\inception_v3_epoch5.pth
2025-11-11 17:12:06,inception_v3,stage2,6,1e-07,0.864144,0.596040,0.534000,,504.00,checkpoints\inception_v3_epoch6.pth
2025-11-11 17:21:26,inception_v3,stage2,7,1e-07,0.863854,0.602970,0.540000,,503.99,checkpoints\inception_v3_epoch7.pth
2025-11-11 17:30:46,inception_v3,stage2,8,1e-07,0.854990,0.597030,0.538000,,504.38,checkpoints\inception_v3_epoch8.pth
2025-11-11 17:40:09,inception_v3,stage2,9,1e-07,0.860949,0.579208,0.542000,,505.78,checkpoints\inception_v3_epoch9.pth
2025-11-11 17:49:33,inception_v3,stage2,10,1e-07,0.869837,0.568317,0.544000,,506.75,checkpoints\inception_v3_epoch10.pth
